Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value
vintage-flower-print-a-line-dress,Vintage Flower Print A-Line Dress,,Black,,3XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,,Blue,,S
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,,Blue,,M
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,,Blue,,L
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,,Blue,,XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,XXL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,,Blue,,3XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,,Blue,,4XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,,Blue,,5XL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Black,,S
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Black,,M
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Black,,L
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,Color,Black,Size,XL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Black,,XXL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Black,,3XL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Gray,,S
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Gray,,M
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Gray,,L
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Gray,,XL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Gray,,XXL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Gray,,3XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,S
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,,Green,,M
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,,Green,,L
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,,Green,,XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,,Green,,XXL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,,Green,,3XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,,Green,,4XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,5XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,,Dark Green,,S
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,,Dark Green,,M
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,,Dark Green,,L
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,,Dark Green,,XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,,Dark Green,,XXL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,,Dark Green,,3XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,4XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,,Dark Green,,5XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,S
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,M
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,L
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,XXL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,3XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,4XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,,Blue,,5XL
