Handle,Title,Option1 Value,Option1 Name,Option2 Value,Option2 Name
boho-printing-long-sleeve-dress,Casual Floral Cotton Long Maxi Blue Dresses,,Blue,Size,M
boho-printing-long-sleeve-dress,Casual Floral Cotton Long Maxi Blue Dresses,,Blue,Size,L
boho-printing-long-sleeve-dress,Casual Floral Cotton Long Maxi Blue Dresses,,Blue,Size,XL
boho-printing-long-sleeve-dress,,Color,Blue,Size,XXL
boho-printing-long-sleeve-dress,Vintage Flower Print A-Line Dress,,Blue,Size,3XL
boho-printing-long-sleeve-dress,Vintage Flower Print A-Line Dress,,Blue,Size,4XL
boho-printing-long-sleeve-dress,Vintage Flower Print A-Line Dress,,Blue,Size,5XL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Vintage Flower Print A-Line Dress,,Black,Size,S
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Vintage Flower Print A-Line Dress,,Black,Size,M
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Vintage Flower Print A-Line Dress,,Black,Size,L
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,,Color,Black,Size,XL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Boho printing long Sleeve Dress,,Black,Size,XXL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Boho printing long Sleeve Dress,,Black,Size,3XL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Boho printing long Sleeve Dress,,Gray,Size,S
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Boho printing long Sleeve Dress,,Gray,Size,M
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Boho printing long Sleeve Dress,,Gray,Size,L
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Boho printing long Sleeve Dress,,Gray,Size,XL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Boho printing long Sleeve Dress,,Gray,Size,XXL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Boho printing long Sleeve Dress,,Gray,Size,3XL
long-sleeve-casual-long-pocket-dress,,Color,Green,Size,S
long-sleeve-casual-long-pocket-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Green,Size,M
long-sleeve-casual-long-pocket-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Green,Size,L
long-sleeve-casual-long-pocket-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Green,Size,XL
long-sleeve-casual-long-pocket-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Green,Size,XXL
long-sleeve-casual-long-pocket-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Green,Size,3XL
long-sleeve-casual-long-pocket-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,,Green,Size,4XL
long-sleeve-casual-long-pocket-dress,,Color,Green,Size,5XL
cotton-linen-loose-casual-long-shirt-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Dark Green,Size,S
cotton-linen-loose-casual-long-shirt-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Dark Green,Size,M
cotton-linen-loose-casual-long-shirt-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Dark Green,Size,L
cotton-linen-loose-casual-long-shirt-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Dark Green,Size,XL
cotton-linen-loose-casual-long-shirt-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Dark Green,Size,XXL
cotton-linen-loose-casual-long-shirt-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,,Dark Green,Size,3XL
cotton-linen-loose-casual-long-shirt-dress,,Color,Dark Green,Size,4XL
cotton-linen-loose-casual-long-shirt-dress,Long sleeve casual long pocket dress,,Dark Green,Size,5XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Long sleeve casual long pocket dress,,Blue,Size,S
lapel-neck-long-shirt-dress-buttons-cotton-linen,Long sleeve casual long pocket dress,,Blue,Size,M
lapel-neck-long-shirt-dress-buttons-cotton-linen,Long sleeve casual long pocket dress,,Blue,Size,L
lapel-neck-long-shirt-dress-buttons-cotton-linen,Long sleeve casual long pocket dress,,Blue,Size,XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Long sleeve casual long pocket dress,,Blue,Size,XXL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Long sleeve casual long pocket dress,,Blue,Size,3XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Long sleeve casual long pocket dress,,Blue,Size,4XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,,Color,Blue,Size,5XL
