Handle,Title,Option1 Value,Option1 Name,Option2 Value,Option2 Name
vintage-flower-print-a-line-dress,Vintage Flower Print A-Line Dress,Color,Black,Size,S
vintage-flower-print-a-line-dress,Vintage Flower Print A-Line Dress,Color,Black,Size,M
vintage-flower-print-a-line-dress,Vintage Flower Print A-Line Dress,Color,Black,Size,L
vintage-flower-print-a-line-dress,Vintage Flower Print A-Line Dress,Color,Black,Size,XL
vintage-flower-print-a-line-dress,Vintage Flower Print A-Line Dress,Color,Black,Size,XXL
vintage-flower-print-a-line-dress,Vintage Flower Print A-Line Dress,Color,Black,Size,3XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,S
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,M
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,L
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,XXL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,3XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,4XL
boho-printing-long-sleeve-dress,Boho printing long Sleeve Dress,Color,Blue,Size,5XL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,Color,Black,Size,S
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,Color,Black,Size,M
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,Color,Black,Size,L
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,Color,Black,Size,XL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,Color,Black,Size,XXL
cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Cotton Polka Dot Baggy Sarafans Vestidos Robe Maxi Dress,Color,Black,Size,3XL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,Color,Gray,Size,S
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,Color,Gray,Size,M
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,Color,Gray,Size,L
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,Color,Gray,Size,XL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,Color,Gray,Size,XXL
cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Cotton V Neck Puff Sleeve Vintage Elastic Cuff Women Dress,Color,Gray,Size,3XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,S
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,M
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,L
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,XXL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,3XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,4XL
long-sleeve-casual-long-pocket-dress,Long sleeve casual long pocket dress,Color,Green,Size,5XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,S
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,M
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,L
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,XXL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,3XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,4XL
cotton-linen-loose-casual-long-shirt-dress,Cotton linen Loose casual long shirt dress,Color,Dark Green,Size,5XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,S
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,M
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,L
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,XXL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,3XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,4XL
lapel-neck-long-shirt-dress-buttons-cotton-linen,Lapel Neck Long Shirt Dress Buttons Cotton Linen,Color,Blue,Size,5XL
